Innovator,Use_Message,Use_Cell,Use_PIM,Inf_Passive,Inf_Active,Remote_Access,Share_Inf,Monitor,Email,Web,Mmedia,Ergonomic,Monthly,Price
4,1,5,7,4,6,3,1,4,5,5,6,4,15,280
5,4,7,5,6,5,6,5,4,7,3,6,1,15,310
3,5,5,6,3,4,7,6,4,4,4,6,3,35,370
3,1,6,7,5,7,3,4,4,4,7,5,5,15,390
4,1,6,7,7,5,5,5,2,7,5,5,4,25,410
5,3,5,7,3,7,4,6,5,6,7,6,3,40,250
5,5,5,6,6,4,3,3,4,6,5,7,4,20,310
3,1,5,5,6,5,4,3,4,7,4,7,1,15,230
6,5,5,7,3,7,1,3,2,6,4,6,3,15,240
2,2,7,5,4,5,5,4,6,4,6,5,3,25,290
4,5,7,6,5,7,2,2,6,7,6,6,4,20,230
4,3,5,6,7,3,3,5,4,7,6,5,6,15,160
4,4,5,7,7,7,4,1,7,7,3,6,4,30,100
3,3,5,5,5,6,2,7,2,4,6,6,3,20,210
3,6,7,6,5,4,3,3,3,6,7,5,4,30,180
4,2,7,7,3,6,4,1,5,6,6,5,4,25,260
3,4,7,7,7,6,4,3,3,7,7,7,5,25,320
4,3,6,7,3,5,4,2,7,7,4,6,2,30,150
4,2,5,6,7,5,3,1,2,4,7,2,4,25,330
3,5,5,5,4,7,3,3,2,7,5,5,4,25,290
4,5,6,7,2,6,3,3,3,6,5,5,5,20,260
4,2,5,5,3,4,3,5,6,4,5,4,2,35,290
2,3,6,5,7,7,4,3,5,7,7,4,4,20,340
5,7,5,6,6,5,5,4,3,7,5,4,6,15,400
5,2,6,4,7,5,5,3,6,7,6,6,3,30,250
5,2,6,6,4,3,4,3,4,7,5,6,4,45,430
3,2,4,7,3,6,5,3,3,6,6,7,4,15,400
2,5,6,6,6,6,2,4,7,6,7,7,5,25,220
3,5,5,7,5,7,6,2,6,7,7,7,3,45,170
3,3,6,7,5,6,4,2,3,4,7,6,5,15,470
2,6,7,6,6,6,4,3,3,5,6,7,4,15,230
2,6,7,4,4,5,4,4,7,4,6,7,4,30,170
3,4,5,7,5,7,6,4,7,7,5,6,4,20,280
3,3,4,7,6,3,2,2,2,3,6,2,3,25,470
6,5,7,6,7,6,5,5,2,6,7,3,6,20,340
6,5,7,6,5,3,5,6,5,7,5,4,5,25,170
4,5,7,6,6,2,7,4,3,7,6,4,3,20,270
4,3,3,7,5,5,6,4,4,7,7,5,6,30,290
3,2,7,7,7,4,2,1,4,4,7,5,3,30,410
3,4,5,7,3,4,3,2,6,7,5,6,4,25,330
3,4,6,5,5,6,4,5,5,6,5,4,3,25,290
3,6,5,7,4,6,3,3,5,7,5,5,6,25,220
5,3,6,5,5,6,6,2,5,7,4,5,4,20,460
3,1,6,7,5,4,2,4,4,6,3,6,4,35,360
5,5,7,2,4,4,6,3,1,7,7,3,3,25,290
6,6,7,3,7,3,4,3,5,7,5,6,4,25,270
5,5,6,7,6,7,3,2,5,7,6,4,5,25,250
3,2,7,5,4,3,2,4,5,4,7,2,6,50,300
4,2,5,7,7,6,5,5,5,7,6,5,6,25,330
2,2,7,5,3,4,4,1,4,6,4,5,3,30,100
3,3,6,5,2,5,3,4,4,4,6,7,5,15,420
2,3,7,7,4,5,5,1,6,7,5,6,2,20,390
4,3,6,7,5,4,3,6,4,7,5,1,4,25,200
3,6,6,3,7,7,2,2,5,4,7,6,5,30,360
3,5,7,5,4,6,4,3,5,5,3,6,7,30,330
3,7,5,5,4,5,2,3,4,7,2,3,6,20,410
1,7,6,4,3,3,5,5,7,3,3,3,3,40,280
5,5,5,2,4,5,4,5,6,4,5,3,4,25,300
4,7,6,2,2,3,5,5,7,3,1,3,6,35,330
1,7,6,3,3,3,4,7,6,3,3,3,4,20,240
6,6,4,2,4,5,5,6,5,3,1,2,3,35,410
1,7,7,2,4,3,7,3,7,1,4,1,2,25,100
4,6,4,6,6,5,1,4,6,3,3,2,7,35,150
2,7,7,4,3,4,5,3,5,4,1,1,5,25,470
1,7,4,1,3,6,5,2,7,2,3,3,1,15,440
1,7,5,1,4,3,5,3,6,6,3,6,7,25,310
1,6,5,1,4,5,5,4,6,2,5,2,4,30,340
3,6,5,1,6,3,7,3,7,5,3,1,7,30,240
1,4,7,1,4,4,5,5,6,6,3,1,2,15,270
1,6,7,1,7,3,6,4,7,1,3,2,6,30,250
3,4,4,1,3,4,7,3,5,4,2,3,4,30,230
2,5,6,2,3,4,6,5,5,1,4,2,5,25,300
1,5,5,3,4,5,5,5,7,3,3,1,4,35,280
3,6,6,4,7,6,4,5,5,4,2,4,5,30,300
1,5,6,1,6,4,6,2,2,6,4,1,6,20,250
4,4,6,4,5,3,5,2,5,4,2,3,5,25,240
2,6,7,4,4,4,6,2,6,5,2,1,2,10,270
4,5,7,1,3,2,5,2,5,5,1,1,4,20,210
3,4,7,3,5,4,4,4,7,4,1,2,4,25,270
1,7,6,1,5,5,5,1,2,3,3,3,4,25,310
2,3,5,1,3,3,7,2,7,3,6,3,7,25,250
4,7,4,1,1,5,7,4,7,3,2,3,3,25,190
1,6,4,1,7,3,6,6,5,6,5,1,6,25,220
2,5,7,2,3,5,5,5,4,2,4,2,1,25,370
3,4,6,3,3,4,7,3,5,2,2,5,3,15,100
1,4,7,1,5,3,5,3,5,2,3,5,3,25,230
5,7,4,2,3,4,7,5,7,4,2,2,3,20,360
1,6,6,4,3,1,5,1,4,1,4,2,5,10,260
1,5,5,1,5,6,7,5,7,2,2,5,4,35,320
1,6,6,2,7,2,2,3,7,3,4,2,3,25,260
4,6,6,3,2,3,5,3,6,3,6,2,6,20,210
3,4,4,3,3,6,4,4,5,2,3,4,2,25,260
3,4,4,2,4,5,4,3,7,1,4,1,5,25,100
1,7,4,2,3,3,4,3,4,4,3,3,2,20,100
5,7,5,4,2,5,7,3,7,3,3,3,3,25,130
2,5,7,3,1,3,7,2,5,5,5,2,4,20,130
1,3,4,1,2,3,3,6,6,3,1,2,6,15,360
2,7,5,2,4,3,7,2,4,3,2,2,5,30,310
4,6,5,1,3,3,6,5,4,3,1,1,1,35,370
3,7,5,1,3,1,6,3,5,2,2,1,1,25,380
4,7,5,1,6,4,6,4,7,3,4,1,7,30,340
3,5,4,6,3,5,4,4,5,3,5,3,4,25,340
1,4,4,1,3,3,3,4,5,2,4,1,4,30,330
2,4,6,3,4,4,4,5,5,2,4,1,3,20,220
4,4,5,2,3,5,1,2,3,5,4,5,7,30,460
6,3,7,4,4,2,1,3,4,7,7,6,7,25,480
4,3,6,4,4,6,3,4,4,5,7,4,4,25,350
5,6,7,1,1,6,2,3,4,6,4,6,7,40,460
2,1,5,4,6,2,2,3,5,7,7,5,4,35,270
